url,local_path,section_hint,priority,pinned,expected_date,source_type_hint,source_name_hint,tags,note
https://www.shenhuachina.com/zgshww/gsxw/202606/505bd498a9d749b1ae64f25be3917bb5.shtml,,company,4,false,2026-06-15,url,中国神华,销售集团新疆分公司疆煤协同一体化下水首列顺利发运,销售集团新疆分公司疆煤协同一体化下水首列顺利发运 | 疆煤协同一体化下水首列发运，适合分析一体化物流、疆煤外运和能源保供能力
https://www.shenhuachina.com/zgshww/gsxw/202606/18941c9f71c348e5ba492e6162368686.shtml,,company,4,false,2026-06-15,url,中国神华,朔黄铁路非煤运输年累突破1000万吨,朔黄铁路非煤运输年累突破1000万吨 | 朔黄铁路非煤运输年累计突破1000万吨，可用于分析运输结构优化和综合物流能力
https://www.shenhuachina.com/zgshww/xwtt/202606/9df950ba0ece49088d3587263f4b2943.shtml,,company,4,false,2026-06-02,url,中国神华,国内首创重载铁路柔性牵引供电系统在朔黄成功应用,国内首创重载铁路柔性牵引供电系统在朔黄成功应用 | 重载铁路柔性牵引供电系统成功应用，可用于分析铁路节能、技术创新和运输效率提升
https://paper.cnstock.com/html/2026-06/18/content_2232522.htm,,company,4,false,2026-06-18,url,上海证券报,中国神华能源股份有限公司2026年5月份主要运营数据公告,中国神华能源股份有限公司2026年5月份主要运营数据公告 | 2026年5月份主要运营数据公告，可用于补充煤炭销售、运输、发电和煤化工经营背景
https://paper.cnstock.com/html/2026-06/26/content_2235655.htm,,company,4,false,2026-06-26,url,上海证券报,中国神华能源股份有限公司关于向财务公司增资暨关联交易进展的公告,中国神华能源股份有限公司关于向财务公司增资暨关联交易进展的公告 | 关联交易进展公告，适合纳入G维度，分析关联交易、内部金融平台和信息披露
https://paper.cnstock.com/html/2026-05/29/content_2223245.htm,,company,4,false,2026-05-29,url,上海证券报,中国神华能源股份有限公司关于独立非执行董事离任的公告,中国神华能源股份有限公司关于独立非执行董事离任的公告 | 独立非执行董事离任导致独董人数及专委会构成暂不符合规定，适合纳入公司治理风险观察
,data/manual_sources/policy/【关于开展重点行业节能降碳改造攻坚三年行动的通知(发改环资〔2026〕698号)】-国家发展和改革委员会.pdf,policy,5,true,2026-06-15,pdf,国家发展改革委,重点行业节能降碳改造攻坚三年行动通知,煤电等重点行业节能降碳改造政策 PDF
,data/manual_sources/policy/关于更新《企业温室气体排放核算与报告指南 发电设施》和《企业温室气体排放核查技术指南 发电设施》有关技术要求的通知.pdf,policy,5,true,2026-06-29,pdf,生态环境部,发电设施温室气体核算与核查技术要求更新通知,发电设施温室气体排放核算核查技术要求 PDF
,data/manual_sources/policy/国家能源局综合司关于组织推进非公共电网可再生能源发电项目绿证核发的通知-国家能源局.pdf,policy,4,false,2026-06-05,pdf,国家能源局,非公共电网可再生能源发电项目绿证核发通知,绿证核发政策 PDF
,data/manual_sources/industry/2026年5月份能源生产情况 - 国家统计局.pdf,industry,4,false,2026-06-16,pdf,国家统计局,2026年5月份能源生产情况,能源生产行业统计 PDF
,data/manual_sources/company/国能锦界公司400万吨_年CCUS示范工程项目取得规划许可.pdf,company,5,true,2026-06-29,pdf,中国神华,国能锦界公司400万吨/年CCUS示范工程项目取得规划许可 PDF,CCUS示范工程规划许可 PDF
,data/manual_sources/company/宝日希勒露天矿微藻固碳项目实现规模化扩培新突破.pdf,company,5,true,2026-06-29,pdf,中国神华,宝日希勒露天矿微藻固碳项目实现规模化扩培新突破 PDF,微藻固碳项目 PDF
,data/manual_sources/company/数科公司智慧煤化工关键技术与应用成果获评国际领先.pdf,company,4,false,2026-06-29,pdf,中国神华,数科公司智慧煤化工关键技术与应用成果获评国际领先 PDF,智慧煤化工技术成果 PDF
,data/manual_sources/company/新疆能源“黑山优混”煤炭销量创历史新高.pdf,company,4,false,2026-06-29,pdf,中国神华,新疆能源黑山优混煤炭销量创历史新高 PDF,煤炭销量与能源保供 PDF
,data/manual_sources/company/神东煤炭首台机械夹装助力臂正式投用.pdf,company,4,false,2026-06-15,pdf,中国神华,神东煤炭首台机械夹装助力臂正式投用 PDF,安全生产与智能装备 PDF
,data/manual_sources/company/神东生态环境管理中心生态管理科获评“全国工人先锋号”称号.pdf,company,3,false,2026-05-13,pdf,中国神华,神东生态环境管理中心生态管理科获评全国工人先锋号 PDF,生态环境管理荣誉 PDF；日期早于本期报告周期，仅作历史资料
,data/manual_sources/company/雁宝能源宝日希勒露天矿宣教润心筑牢安全生产防线.pdf,company,4,false,2026-06-29,pdf,中国神华,雁宝能源宝日希勒露天矿宣教润心筑牢安全生产防线 PDF,安全生产宣教 PDF
,data/manual_sources/company/黄骅港务年累计煤炭下水量破亿吨.pdf,company,4,false,2026-06-22,pdf,中国神华,黄骅港务年累计煤炭下水量破亿吨 PDF,港口煤炭下水量与能源保供 PDF
,data/manual_sources/peer/中国中煤能源股份有限公司2026 年 5 月份主要生产经营数据公告.pdf,peer,4,false,2026-06-15,pdf,中煤能源,中国中煤能源2026年5月份主要生产经营数据公告 PDF,中煤能源月度经营数据 PDF
,data/manual_sources/policy/新能源体系建设十五五规划.pdf,policy,4,false,2026-06-25,pdf,待核验来源,新型能源体系建设十五五规划 PDF,发布日期由用户确认：2026/06/25；来源待核验
